"","Pedigree.Unified","P1.IG","P1.Specie","P1.Type","P2.IG","P2.Specie","P2.Type","P3.IG","P3.Specie","P3.Type"
"f42321abf9ec","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"211aa9e14db6","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"b8cbfbe5df53","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"09c9d44c1c0f","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"a1218ed6b5b8","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"336ae4327536","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"d997a5883a77","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"280a3eb6a017","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"d07334963d15","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"a54e80824709","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"73ea4bceb6e3","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"2893b394d454","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"0569aa5e1f32","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"085ea3442954","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"8c9612357707","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"eb7af9ba62e8","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"4bb89abd6305","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"8dabe6403020","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"024a9e98bb20","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"3a0fd0a0108c","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"244f24041dd0","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"c48a4f117f6d","Pedigree.Unified.124",47620,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"03eaf7da3eb3","Pedigree.Unified.124",47620,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"d7d3266d4bc0","Pedigree.Unified.126",NA,"","",NA,"","",NA,"",""
"9645812c288c","Pedigree.Unified.126",NA,"","",NA,"","",NA,"",""
"61a310bfe18c","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"dd7db6648093","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"e597fe0fd943","Pedigree.Unified.138",NA,"","",NA,"","",NA,"",""
"f38a488705b2","Pedigree.Unified.115",47573,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"184bf6c6373e","Pedigree.Unified.111",NA,"","",NA,"","",NA,"",""
"e0ac4499c475","Pedigree.Unified.114",47572,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"3aa2590fb152","Pedigree.Unified.116",47595,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"f6e209f152bc","Pedigree.Unified.116",47595,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"c4809d46e2c2","Pedigree.Unified.116",47595,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"8ae75011c69f","Pedigree.Unified.116",47595,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"7303f7051748","Pedigree.Unified.116",47595,"Aegilops bicornis var. bicornis","Wild",NA,"","",NA,"",""
"c02f2e66ebf4","Pedigree.Unified.132",NA,"","",NA,"","",NA,"",""
"979b13a0b55b","Pedigree.Unified.131",NA,"","",NA,"","",NA,"",""
